,FORMULA,PROPERTY: Microstructure,PROPERTY: Processing method,PROPERTY: BCC/FCC/other,PROPERTY: grain size ($\mu$m),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: HV,PROPERTY: Type of test,PROPERTY: Test temperature ($^\circ$C),PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),PROPERTY: Exp. Young modulus (GPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: O content (wppm),PROPERTY: N content (wppm),PROPERTY: C content (wppm)
492,Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,BCC,WROUGHT,BCC,,,8.4,,C,-196.0,1880.0,,,,,100.0,,,
493,Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,BCC,WROUGHT,BCC,,,8.4,,C,-196.0,1750.0,,,,,100.0,,,
494,Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,BCC,WROUGHT,BCC,,,8.4,,C,-153.0,1640.0,,,,,100.0,,,
495,Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,BCC,WROUGHT,BCC,,,8.4,,C,-153.0,1550.0,,,,,100.0,,,
496,Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,BCC,WROUGHT,BCC,,,8.4,,C,-103.0,1380.0,,,,,100.0,,,
497,Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,BCC,WROUGHT,BCC,,,8.4,,C,-103.0,1370.0,,,,,100.0,,,
498,Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,BCC,WROUGHT,BCC,,,8.4,,C,-43.0,1200.0,,,,,100.0,,,
499,Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,BCC,WROUGHT,BCC,,,8.4,,C,-43.0,1180.0,,,,,100.0,,,
500,Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,BCC,WROUGHT,BCC,,,8.4,,C,72.0,1040.0,,,,,100.0,,,
501,Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,BCC,WROUGHT,BCC,,,8.4,,C,72.0,1020.0,,,,,100.0,,,
502,Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,BCC,WROUGHT,BCC,,,8.4,,C,25.0,1150.0,,,,,100.0,,,
503,Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,BCC,WROUGHT,BCC,,,8.4,,C,25.0,1100.0,,,,,100.0,,,
504,Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,BCC,WROUGHT,BCC,,,8.4,,C,-268.8,2390.0,,,,,100.0,,,
505,Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,BCC,WROUGHT,BCC,,,8.4,,C,-196.0,1920.0,,,,,100.0,,,
506,Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,BCC,WROUGHT,BCC,,,8.4,,C,-153.0,1370.0,,,,,100.0,,,
507,Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,BCC,WROUGHT,BCC,,,8.4,,C,-103.0,1250.0,,,,,100.0,,,
508,Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,BCC,WROUGHT,BCC,,,8.4,,C,-43.0,1020.0,,,,,100.0,,,
509,Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,BCC,WROUGHT,BCC,,,8.4,,C,72.0,640.0,,,,,100.0,,,
510,Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,BCC,WROUGHT,BCC,,,8.4,,C,25.0,890.0,,,,,100.0,,,
520,Hf1 Mo0.5 Nb1 Ti1 V0.5,BCC,CAST,BCC,,,9.0,,C,1000.0,368.0,394.0,,,,126.0,,,
521,Hf1 Mo0.5 Nb1 Ti1 V0.5,BCC,CAST,BCC,,,9.0,,C,1200.0,60.0,,,,,126.0,,,
522,Hf1 Mo0.5 Nb1 Ti1 V0.5,BCC,CAST,BCC,,,9.0,,C,25.0,1260.0,,,,,126.0,,,
523,Hf0.787 Nb0.142 Ta0.142 Ti1 Zr0.787,BCC,WROUGHT,BCC,,,8.5,,T,25.0,540.0,995.0,,,,92.0,,,
540,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,OTHER,BCC,0.05,,9.9,420.0,T,25.0,1900.0,,7.9,,,107.0,,,
543,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,100.0,,9.9,309.0,T,25.0,830.0,840.0,9.2,,,107.0,,,
544,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,366.0,T,25.0,1202.0,1295.0,4.7,,,107.0,,,
546,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,351.0,T,25.0,1145.0,1262.0,9.7,,,107.0,,,
547,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,T,25.0,958.0,974.0,,,,107.0,,,
548,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,T,25.0,944.0,959.0,,,,107.0,,,
549,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,T,25.0,940.0,953.0,,,,107.0,,,
550,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,T,25.0,940.0,1080.0,,,,107.0,,,
551,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,CAST,BCC,,,9.9,,C,25.0,905.0,,,,,107.0,,,
552,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,CAST,BCC,,,9.9,,C,25.0,890.0,,,,,107.0,,,
553,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,CAST,BCC,,,9.9,,T,25.0,828.0,862.0,,,,107.0,,,
554,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,CAST,BCC,,,9.9,,T,25.0,827.0,856.0,,,,107.0,,,
555,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,CAST,BCC,,,9.9,,T,25.0,820.0,869.0,,,,107.0,,,
556,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,CAST,BCC,,,9.9,,T,25.0,803.0,810.0,,,,107.0,,,
557,Al0.2 Mo1 Ta1 Ti1 V1,BCC,CAST,BCC,,,9.3,,C,25.0,1021.0,1249.0,,,,183.0,,,
558,Al0.6 Mo1 Ta1 Ti1 V1,BCC,CAST,BCC,,,8.7,,C,25.0,962.0,1033.0,,,,173.0,,,
559,Al1 Mo1 Ta1 Ti1 V1,BCC,CAST,BCC,,,8.2,,C,25.0,,735.0,,,,165.0,,,
560,Mo1 Ta1 Ti1 V1,BCC,CAST,BCC,,,9.6,,C,25.0,1221.0,1454.0,,,,189.0,,,
565,Hf1 Nb1 Ta1 Zr1,BCC,CAST,BCC,,,11.1,365.0,C,25.0,1315.0,1800.0,21.6,,,105.0,,,
569,Hf1 Ta1 Ti1 Zr1,BCC,CAST,BCC,,,10.2,,T,25.0,1500.0,1500.0,,,,107.0,,,
570,Mo1 Nb1 Ta1 Ti0.25 W1,BCC,CAST,BCC,,,13.1,478.3,C,25.0,1109.0,1197.0,,,,242.0,,,
571,Mo1 Nb1 Ta1 Ti0.5 W1,BCC,CAST,BCC,,,12.6,481.2,C,25.0,1211.0,1578.0,,,,234.0,,,
572,Mo1 Nb1 Ta1 Ti0.75 W1,BCC,CAST,BCC,,,12.2,495.6,C,25.0,1304.0,1593.0,,,,228.0,,,
573,Mo1 Nb1 Ta1 Ti1 W1,BCC,CAST,BCC,,,11.8,507.5,C,25.0,1455.0,1910.0,,,,222.0,,,
574,Mo1 Nb1 Ta1 W1,BCC,CAST,BCC,,,13.7,,C,25.0,996.0,1148.0,,,,250.0,,,
575,Mo1 Nb1 Ta1 Ti1 V1,BCC,CAST,BCC,,,9.4,,C,25.0,1400.0,2450.0,,,,171.0,,,
576,Mo1 Nb1 Ta1 Ti1 V1 W1,BCC,CAST,BCC,,,11.0,,C,600.0,973.0,1590.0,,,,209.0,,,
577,Mo1 Nb1 Ta1 Ti1 V1 W1,BCC,CAST,BCC,,,11.0,,C,800.0,791.3,1180.0,,,,209.0,,,
578,Mo1 Nb1 Ta1 Ti1 V1 W1,BCC,CAST,BCC,,,11.0,,C,1000.0,752.8,1105.0,,,,209.0,,,
579,Mo1 Nb1 Ta1 Ti1 V1 W1,BCC,CAST,BCC,,,11.0,,C,1200.0,659.0,696.0,,,,209.0,,,
580,Mo1 Nb1 Ta1 Ti1 V1 W1,BCC,CAST,BCC,,,11.0,,C,25.0,1515.0,2135.0,,,,209.0,,,
581,Mo1 Nb1 Ta1 Ti1 W1,BCC,CAST,BCC,,,11.8,,C,600.0,689.0,1681.0,,,,222.0,,,
582,Mo1 Nb1 Ta1 Ti1 W1,BCC,CAST,BCC,,,11.8,,C,800.0,674.0,1618.0,,,,222.0,,,
583,Mo1 Nb1 Ta1 Ti1 W1,BCC,CAST,BCC,,,11.8,,C,1000.0,620.0,1426.0,,,,222.0,,,
584,Mo1 Nb1 Ta1 Ti1 W1,BCC,CAST,BCC,,,11.8,,C,1200.0,586.0,814.0,,,,222.0,,,
585,Mo1 Nb1 Ta1 Ti1 W1,BCC,CAST,BCC,,,11.8,,C,25.0,1343.0,2005.0,,,,222.0,,,
589,Mo1 Nb1 Ta1 V1 W1,BCC,POWDER,BCC,,,12.4,,C,25.0,2612.0,3472.0,,,,229.0,,,
590,Nb1 Ta1 Ti1 V1,BCC,CAST,BCC,,,9.2,,C,25.0,965.0,,,,,134.0,,,
591,Nb1 Ta1 Ti1 V1 W1,BCC,CAST,BCC,,,11.1,,C,25.0,1420.0,1800.0,20.0,,,187.0,,,
592,Nb1 Ta1 V1 W1,BCC,CAST,BCC,,,12.9,,C,25.0,1530.0,1700.0,12.0,,,206.0,,,
597,Al0.25 Cr0.5 Nb0.5 Ti1 V0.25,BCC,CAST,BCC,,,5.8,,C,25.0,1240.0,,,,,134.0,,,
598,Al1 Cr0.5 Nb1 Ti1 V1,BCC,ANNEAL,BCC,,,5.6,,C,600.0,1005.0,1045.0,,,,119.0,,,
599,Al1 Cr0.5 Nb1 Ti1 V1,BCC,ANNEAL,BCC,,,5.6,,C,800.0,640.0,685.0,,,,119.0,,,
600,Al1 Cr0.5 Nb1 Ti1 V1,BCC,ANNEAL,BCC,,,5.6,,C,1000.0,40.0,80.0,,,,119.0,,,
601,Al1 Cr0.5 Nb1 Ti1 V1,BCC,ANNEAL,BCC,,,5.6,,C,25.0,1300.0,1430.0,,,,119.0,,,
610,Al1 Nb1 Ti1 V1,BCC,ANNEAL,BCC,,,5.5,,C,600.0,780.0,1005.0,,,,104.0,,,
611,Al1 Nb1 Ti1 V1,BCC,ANNEAL,BCC,,,5.5,,C,800.0,560.0,700.0,,,,104.0,,,
612,Al1 Nb1 Ti1 V1,BCC,ANNEAL,BCC,,,5.5,,C,1000.0,110.0,,,,,104.0,,,
613,Al1 Nb1 Ti1 V1,BCC,ANNEAL,BCC,,,5.5,,C,25.0,1000.0,1280.0,,,,104.0,,,
630,Co1 Cr1 Fe1 Mn1 Ni1,FCC,WROUGHT,FCC,4.4,,8.0,,T,25.0,370.0,670.0,56.0,,,220.0,,,
640,Al0.304 Co1 Cr1 Fe1 Ni1,FCC,,FCC,53.0,,7.6,,T,25.0,260.0,620.0,87.0,,,210.0,,,
642,Al0.304 Co1 Cr1 Fe1 Ni1,FCC,WROUGHT,FCC,,,7.6,,,,,,,,,210.0,,,
645,Al0.304 Co1 Cr1 Fe1 Ni1,FCC,WROUGHT,FCC,144.0,,7.6,,T,25.0,159.0,410.0,65.0,,,210.0,,,
648,Al0.304 Co1 Cr1 Fe1 Ni1,FCC,WROUGHT,FCC,23.0,,7.6,,T,25.0,263.0,589.0,60.0,,,210.0,,,
654,Al0.304 Co1 Cr1 Fe1 Ni1,FCC,ANNEAL,FCC,,,7.6,,,,,,,,,210.0,,,
655,Al0.304 Co1 Cr1 Fe1 Ni1,FCC,ANNEAL,FCC,,,7.6,,,,,,,,,210.0,,,
678,Co1 Cr0.429 Fe0.571 Mo0.286 Ni0.571,FCC,CAST,FCC,,,8.6,,T,25.0,350.0,720.0,21.9,,,234.0,,,
684,Co1 Cr0.429 Fe0.571 Mo0.286 Ni0.571,FCC,WROUGHT,FCC,,,8.6,,T,25.0,350.0,918.0,62.4,,,234.0,,,
685,Co1 Cr1 Fe1 Ni1,FCC,CAST,FCC,,,8.2,,T,25.0,155.0,472.4,58.9,,,226.0,,,
692,Co1 Cr1 Fe1 Mn1 Ni1,FCC,WROUGHT,FCC,13.0,,8.0,,T,25.0,243.0,558.0,50.0,,,220.0,,,
694,Co1 Cr1 Fe1 Mn1 Ni1,FCC,WROUGHT,FCC,7.0,,8.0,,T,25.0,249.0,621.0,41.0,,,220.0,,,
696,Co1 Cr1 Fe1 Ni1,FCC,ANNEAL,FCC,,,8.2,,T,25.0,190.0,453.0,70.0,,,226.0,,,
697,Al0.167 Co1 Cr1 Fe1 Ni1 Ti0.083,FCC,ANNEAL,FCC,289.7,,7.8,,T,25.0,210.0,503.0,70.0,,,214.0,,,
724,Co1 Cr1 Fe1 Mn1 Ni1,FCC,ANNEAL,FCC,,,8.0,,C,25.0,230.0,,75.0,,,220.0,,,
729,Al0.304 Co1 Cr1 Fe1 Ni1,FCC,CAST,FCC,,,7.6,,C,25.0,,,25.0,,,210.0,,,
730,Co1 Cr1 Fe1 Ni1,FCC,CAST,FCC,,,8.2,,C,25.0,,,83.0,,,226.0,,,
734,Al0.108 Co0.514 Cr0.514 Cu0.108 Fe0.514 Ni1,FCC,WROUGHT,FCC,,,8.0,,T,25.0,719.0,1048.0,30.0,,,209.0,,,
740,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,FCC,WROUGHT,FCC,,,7.6,,T,25.0,1290.0,1400.0,5.0,,,189.0,,,
748,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,FCC,WROUGHT,FCC,,,7.6,,T,700.0,180.0,185.0,5.0,,,189.0,,,
750,Co1 Cr1 Fe1 Ni1 Ti0.2,FCC,WROUGHT,FCC,51.0,,7.9,,T,25.0,700.0,1240.0,36.0,,,218.0,,,
751,Co1 Cr1 Fe1 Ni1 Ti0.2,FCC,WROUGHT,FCC,,,7.9,,T,-196.0,860.0,1580.0,46.0,,,218.0,,,
752,Al0.1 Co1 Cr1 Fe1 Ni1,FCC,WROUGHT,FCC,20.0,,8.0,,T,25.0,1198.0,,1.5,,,220.0,,,
753,Al0.1 Co1 Cr1 Fe1 Ni1,FCC,WROUGHT,FCC,20.0,,8.0,,T,25.0,1403.0,,1.2,,,220.0,,,
754,Al0.1 Co1 Cr1 Fe1 Ni1,FCC,WROUGHT,FCC,20.0,,8.0,,T,25.0,711.0,928.0,30.3,,,220.0,,,
755,Al0.1 Co1 Cr1 Fe1 Ni1,FCC,WROUGHT,FCC,7.0,,8.0,,T,25.0,356.0,,42.4,,,220.0,,,
756,Co1 Cr1 Fe1 Mn1 Ni1,FCC,WROUGHT,FCC,0.5,,8.0,,T,25.0,1120.0,,1.1,,,220.0,,,
757,Co1 Cr1 Fe1 Mn1 Ni1,FCC,WROUGHT,FCC,,,8.0,,T,-196.0,1692.0,,10.3,,,220.0,,,
762,Al0.25 Cr0.417 Fe0.417 Ni1,FCC,CAST,FCC,,,7.3,,T,25.0,441.0,757.0,45.0,,,196.0,,,
763,Co1 Cr1 Ni1,FCC,WROUGHT,FCC,1.6,,8.3,468.0,T,25.0,1100.0,,23.0,,,231.0,,,
764,Co1 Cr1 Ni1,FCC,WROUGHT,FCC,2.3,,8.3,326.0,T,25.0,597.0,,53.0,,,231.0,,,
765,Co1 Cr1 Ni1,FCC,WROUGHT,FCC,24.0,,8.3,223.0,T,25.0,346.0,,76.0,,,231.0,,,
769,Co1 Cr1 Fe1 Mn1 Ni1,FCC,CAST,FCC,,,8.0,130.2,C,25.0,210.0,,57.0,,,220.0,,,
770,Co1 Cr1 Fe1 Mn1 Ni1,FCC,WROUGHT,FCC,,,8.0,394.1,C,25.0,1150.0,,6.0,,,220.0,,,
771,Co1 Cr1 Fe1 Mn1 Ni1,FCC,WROUGHT,FCC,,,8.0,430.7,C,25.0,1300.0,,0.7,,,220.0,,,
772,Nb1 Ta1 Ti1 V1,BCC,POWDER,BCC,24.0,,9.2,427.9,C,25.0,1108.0,,28.3,,,134.0,,,
773,Nb1 Ta1 Ti1 V1,BCC,POWDER,BCC,30.0,,9.2,444.3,C,25.0,1308.0,,27.9,,,134.0,,,
774,Nb1 Ta1 Ti1 V1,BCC,POWDER,BCC,38.0,,9.2,510.9,C,25.0,1373.0,,29.5,,,134.0,4800.0,,1900.0
775,Co1 Cr1 Fe1 Mn1 Ni1,FCC,WROUGHT,FCC,30.0,,8.0,,T,25.0,300.0,676.0,52.0,,,220.0,,,
776,Co1 Cr1 Fe1 Mn1 Ni1,FCC,WROUGHT,FCC,0.65,,8.0,,T,25.0,800.0,888.0,39.5,,,220.0,,,
783,Co1 Cr1 Fe1 Ni1,FCC,WROUGHT,FCC,,,8.2,,T,20.0,446.0,664.0,63.0,,189.0,226.0,,,
784,Co1 Cr1 Fe1 Ni1,FCC,WROUGHT,FCC,,,8.2,,T,-73.0,488.0,790.0,72.0,,194.0,226.0,,,
785,Co1 Cr1 Fe1 Ni1,FCC,WROUGHT,FCC,,,8.2,,T,-196.0,590.0,1070.0,78.0,,204.0,226.0,,,
786,Co1 Cr1 Fe1 Ni1,FCC,WROUGHT,FCC,,,8.2,,T,-223.0,,1152.0,68.6,,,226.0,,,
787,Co1 Cr1 Fe1 Ni1,FCC,WROUGHT,FCC,,,8.2,,T,-253.0,,1240.0,62.0,,,226.0,,,
788,Co1 Cr1 Fe1 Ni1,FCC,WROUGHT,FCC,,,8.2,,T,-268.8,680.0,1251.0,61.6,,221.0,226.0,,,
789,Co1 Cr1 Fe1 Ni1,FCC,CAST,FCC,,,8.2,94.7,,,,,,,,226.0,,,
790,Al0.3 Co1 Cr1 Fe1 Ni1,FCC,CAST,FCC,,,7.6,117.0,,,,,,,,210.0,,,
794,Co1 Cr1 Fe1 Mn1 Ni1,FCC,CAST,FCC,,,8.0,,C,25.0,216.0,,,,,220.0,,,
795,Co1 Cr1 Fe1 Mn1 Mo0.042 Ni1,FCC,CAST,FCC,,,8.1,,C,25.0,225.0,,,,,221.0,,,
805,Co1 Cr1 Fe1 Mn1 Ni1,FCC,WROUGHT,FCC,7.9,,8.0,,T,25.0,378.7,700.1,54.0,,,220.0,,,
808,Co1 Cr0.588 Fe0.176 Mo0.176 Ni1,FCC,WROUGHT,FCC,,,8.6,,T,25.0,,,8.0,,,231.0,,,
809,Co1 Cr0.588 Fe0.176 Mo0.176 Ni1,FCC,WROUGHT,FCC,0.7,,8.6,,T,25.0,,,14.0,,,231.0,,,
810,Co1 Cr0.588 Fe0.176 Mo0.176 Ni1,FCC,WROUGHT,FCC,0.8,,8.6,,T,25.0,1100.0,1300.0,32.0,,,231.0,,,
811,Co1 Cr0.588 Fe0.176 Mo0.176 Ni1,FCC,WROUGHT,FCC,1.2,,8.6,,T,25.0,950.0,,36.0,,,231.0,,,
812,Co1 Cr0.588 Fe0.176 Mo0.176 Ni1,FCC,WROUGHT,FCC,3.2,,8.6,,T,25.0,649.0,,42.0,,,231.0,,,
813,Co1 Cr0.588 Fe0.176 Mo0.176 Ni1,FCC,WROUGHT,FCC,18.2,,8.6,,T,25.0,439.0,,63.0,,,231.0,,,
814,Co1 Cr0.588 Fe0.176 Mo0.176 Ni1,FCC,WROUGHT,FCC,94.1,,8.6,,T,25.0,309.0,,82.0,,,231.0,,,
815,Co1 Cr1 Fe1 Mn1 Ni1,FCC,WROUGHT,FCC,,,8.0,,T,25.0,386.2,666.3,57.5,,,220.0,,,
828,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,FCC,CAST,FCC,,,7.6,160.0,,,,,,,,189.0,,,
838,Al0.3 Co1 Cr1 Fe1 Ni1,FCC,WROUGHT,FCC,,,7.6,,T,25.0,159.0,410.0,65.0,,,210.0,,,
840,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,,,,,,,107.0,,,
841,Co0.5 Cr0.5 Fe1 Ni1,FCC,WROUGHT,FCC,14.9,,8.2,,T,25.0,214.0,612.0,77.3,,,219.0,,,
842,Co0.875 Cr0.625 Fe1 Ni1,FCC,WROUGHT,FCC,11.6,,8.3,,T,25.0,241.0,721.0,96.2,,,220.0,,,
843,Co1 Cr0.556 Fe0.667 Ni0.667,FCC,WROUGHT,FCC,10.5,,8.3,,T,25.0,299.0,841.0,76.1,,,222.0,,,
846,Hf1 Nb1 Ti1 Zr1,BCC,WROUGHT,BCC,,,8.4,,,,,,,,69.7,89.0,,,
896,Co0.986 Cr0.952 Fe0.933 Mn0.914 Ni1,BCC,WROUGHT,BCC,,,8.0,,T,25.0,1290.0,1415.0,1.1,,,220.0,,,
900,Co0.986 Cr0.952 Fe0.933 Mn0.914 Ni1,FCC,WROUGHT,FCC,17.1,,8.0,,T,25.0,270.0,630.0,46.2,,,220.0,,,
902,Al0.4 Hf0.6 Nb1 Ta1 Ti1 Zr1,BCC,OTHER,BCC,,9.08,9.1,,C,23.0,1841.0,,,,,107.0,,,
903,Al1 Cr1 Mo1 Ti1,BCC,ANNEAL,BCC,,5.98,6.0,,C,23.0,1100.0,,,,,189.0,,,
904,Al1 Mo1 Nb1 Ti1,BCC,ANNEAL,BCC,,6.46,6.5,,C,23.0,1100.0,,,,,151.0,,,
905,Hf1 Mo0.5 Nb1 Ti1 V0.5,BCC,CAST,BCC,,8.96,9.0,,C,23.0,1260.0,,,,,126.0,,,
906,Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,BCC,CAST,BCC,,9.93,9.9,,C,23.0,1512.0,,,,,137.0,,,
907,Hf1 Mo1 Nb1 Ti1 Zr1,BCC,CAST,BCC,,8.68,8.7,,C,23.0,1575.0,,,,,128.0,,,
908,Hf1 Mo1 Ta1 Ti1 Zr1,BCC,CAST,BCC,,10.18,10.2,,C,23.0,1600.0,,,,,143.0,,,
909,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,OTHER,BCC,,9.89,9.9,,C,23.0,929.0,,,,,107.0,,,
910,Mo1 Nb1 Ta1 Ti1 V1 W1,BCC,CAST,BCC,,10.91,11.0,,C,23.0,1515.0,,,,,209.0,,,
911,Mo1 Nb1 Ta1 Ti1 W1,BCC,CAST,BCC,,11.72,11.8,,C,23.0,1343.0,,,,,222.0,,,
912,Mo1 Nb1 Ta1 V1 W1,BCC,OTHER,BCC,,12.29,12.4,,C,23.0,1246.0,,,,,229.0,,,
913,Mo1 Nb1 Ta1 W1,BCC,OTHER,BCC,,13.6,13.7,,C,23.0,996.0,,,,,250.0,,,
914,Mo1 Nb1 Ti1,BCC,OTHER,BCC,,7.67,7.7,,C,23.0,1100.0,,,,,177.0,,,
915,Nb1 Ta0.3 Ti1 Zr1,BCC,OTHER,BCC,,7.81,7.4,,C,23.0,882.0,,,,,101.0,,,
916,Nb1 Ti1 Zr1,BCC,OTHER,BCC,,6.63,6.5,,C,23.0,975.0,,,,,94.0,,,
928,Al0.4 Hf0.6 Nb1 Ta1 Ti1 Zr1,BCC,OTHER,BCC,,9.08,9.1,,C,1000.0,298.0,,,,,107.0,,,
929,Al1 Cr1 Mo1 Ti1,BCC,ANNEAL,BCC,,5.98,6.0,,C,1000.0,375.0,,,,,189.0,,,
930,Al1 Mo1 Nb1 Ti1,BCC,ANNEAL,BCC,,6.46,6.5,,C,1000.0,540.0,,,,,151.0,,,
931,Hf1 Mo0.5 Nb1 Ti1 V0.5,BCC,CAST,BCC,,8.96,9.0,,C,1000.0,368.0,,,,,126.0,,,
932,Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,BCC,CAST,BCC,,9.93,9.9,,C,1000.0,814.0,,,,,137.0,,,
933,Hf1 Mo1 Nb1 Ti1 Zr1,BCC,CAST,BCC,,8.68,8.7,,C,1000.0,635.0,,,,,128.0,,,
934,Hf1 Mo1 Ta1 Ti1 Zr1,BCC,CAST,BCC,,10.18,10.2,,C,1000.0,855.0,,,,,143.0,,,
935,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,OTHER,BCC,,9.89,9.9,,C,1000.0,295.0,,,,,107.0,,,
936,Mo1 Nb1 Ta1 Ti1 V1 W1,BCC,CAST,BCC,,10.91,11.0,,C,1000.0,753.0,,,,,209.0,,,
937,Mo1 Nb1 Ta1 Ti1 W1,BCC,CAST,BCC,,11.72,11.8,,C,1000.0,620.0,,,,,222.0,,,
938,Mo1 Nb1 Ta1 V1 W1,BCC,OTHER,BCC,,12.29,12.4,,C,1000.0,842.0,,,,,229.0,,,
939,Mo1 Nb1 Ta1 W1,BCC,OTHER,BCC,,13.6,13.7,,C,1000.0,548.0,,,,,250.0,,,
940,Mo1 Nb1 Ti1,BCC,OTHER,BCC,,7.67,7.7,,C,1000.0,504.0,,,,,177.0,,,
941,Nb1 Ta0.3 Ti1 Zr1,BCC,OTHER,BCC,,7.81,7.4,,C,1000.0,274.0,,,,,101.0,,,
942,Nb1 Ti1 Zr1,BCC,OTHER,BCC,,6.63,6.5,,C,1000.0,141.0,,,,,94.0,,,
954,Al0.4 Hf0.6 Nb1 Ta1 Ti1 Zr1,BCC,OTHER,BCC,,9.08,9.1,,C,1200.0,89.0,,,,,107.0,,,
955,Al1 Cr1 Mo1 Ti1,BCC,ANNEAL,BCC,,5.98,6.0,,C,1200.0,100.0,,,,,189.0,,,
956,Al1 Mo1 Nb1 Ti1,BCC,ANNEAL,BCC,,6.46,6.5,,C,1200.0,200.0,,,,,151.0,,,
957,Hf1 Mo0.5 Nb1 Ti1 V0.5,BCC,CAST,BCC,,8.96,9.0,,C,1200.0,60.0,,,,,126.0,,,
958,Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,BCC,CAST,BCC,,9.93,9.9,,C,1200.0,556.0,,,,,137.0,,,
959,Hf1 Mo1 Nb1 Ti1 Zr1,BCC,CAST,BCC,,8.68,8.7,,C,1200.0,187.0,,,,,128.0,,,
960,Hf1 Mo1 Ta1 Ti1 Zr1,BCC,CAST,BCC,,10.18,10.2,,C,1200.0,404.0,,,,,143.0,,,
961,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,OTHER,BCC,,9.89,9.9,,C,1200.0,92.0,,,,,107.0,,,
962,Mo1 Nb1 Ta1 Ti1 V1 W1,BCC,CAST,BCC,,10.91,11.0,,C,1200.0,659.0,,,,,209.0,,,
963,Mo1 Nb1 Ta1 Ti1 W1,BCC,CAST,BCC,,11.72,11.8,,C,1200.0,586.0,,,,,222.0,,,
964,Mo1 Nb1 Ta1 V1 W1,BCC,OTHER,BCC,,12.29,12.4,,C,1200.0,735.0,,,,,229.0,,,
965,Mo1 Nb1 Ta1 W1,BCC,OTHER,BCC,,13.6,13.7,,C,1200.0,506.0,,,,,250.0,,,
966,Mo1 Nb1 Ti1,BCC,OTHER,BCC,,7.67,7.7,,C,1200.0,324.0,,,,,177.0,,,
967,Nb1 Ta0.3 Ti1 Zr1,BCC,OTHER,BCC,,7.81,7.4,,C,1200.0,102.0,,,,,101.0,,,
968,Nb1 Ti1 Zr1,BCC,OTHER,BCC,,6.63,6.5,,C,1200.0,61.0,,,,,94.0,,,
980,Co1 Cr1 Fe1 Mn1 Ni1,FCC,WROUGHT,FCC,245.48,7.753,8.0,,T,25.0,293.1,625.6,63.0,,,220.0,,,
981,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,40.0,,9.9,,T,25.0,985.0,1004.0,15.7,,,107.0,,,
