,FORMULA,PROPERTY: Microstructure,PROPERTY: Processing method,PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: Type of test,PROPERTY: Test temperature ($^\circ$C),PROPERTY: YS (MPa),PROPERTY: Calculated Young modulus (GPa)
336,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,OTHER,9.9,C,1000.0,295.0,107.0
337,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,OTHER,9.9,C,1200.0,92.0,107.0
338,Hf1 Nb1 Ti1 Zr1,BCC,CAST,8.4,T,25.0,879.0,89.0
339,Mo1 Nb1 Ta1 V1,BCC,ANNEAL,10.7,C,25.0,1525.0,186.0
340,Mo1 Nb1 Ta1 V1 W1,BCC,CAST,12.4,C,25.0,1246.0,229.0
341,Mo1 Nb1 Ta1 V1 W1,BCC,CAST,12.4,C,600.0,862.0,229.0
342,Mo1 Nb1 Ta1 V1 W1,BCC,CAST,12.4,C,800.0,846.0,229.0
343,Mo1 Nb1 Ta1 V1 W1,BCC,CAST,12.4,C,1000.0,842.0,229.0
344,Mo1 Nb1 Ta1 V1 W1,BCC,CAST,12.4,C,1200.0,735.0,229.0
345,Mo1 Nb1 Ta1 V1 W1,BCC,CAST,12.4,C,1400.0,656.0,229.0
346,Mo1 Nb1 Ta1 V1 W1,BCC,CAST,12.4,C,1600.0,477.0,229.0
347,Mo1 Nb1 Ta1 W1,BCC,CAST,13.7,C,25.0,1058.0,250.0
348,Mo1 Nb1 Ta1 W1,BCC,CAST,13.7,C,600.0,561.0,250.0
349,Mo1 Nb1 Ta1 W1,BCC,CAST,13.7,C,800.0,552.0,250.0
350,Mo1 Nb1 Ta1 W1,BCC,CAST,13.7,C,1000.0,548.0,250.0
351,Mo1 Nb1 Ta1 W1,BCC,CAST,13.7,C,1200.0,506.0,250.0
352,Mo1 Nb1 Ta1 W1,BCC,CAST,13.7,C,1400.0,421.0,250.0
353,Mo1 Nb1 Ta1 W1,BCC,CAST,13.7,C,1600.0,405.0,250.0
354,Mo0.3 Nb1 Ti1 V1 Zr1,BCC,ANNEAL,6.7,C,25.0,1289.0,114.0
355,Mo0.5 Nb1 Ti1 V1 Zr1,BCC,ANNEAL,6.8,C,25.0,1473.0,122.0
356,Mo0.7 Nb1 Ti1 V1 Zr1,BCC,ANNEAL,6.9,C,25.0,1706.0,130.0
357,Mo1 Nb0.769 Ti0.769 V0.769 Zr0.769,BCC,ANNEAL,7.3,C,25.0,1496.0,150.0
358,Mo1 Nb0.667 Ti0.667 V0.667 Zr0.667,BCC,ANNEAL,7.4,C,25.0,1603.0,156.0
359,Mo1 Nb0.588 Ti0.588 V0.588 Zr0.588,BCC,ANNEAL,7.5,C,25.0,1645.0,161.0
360,Mo1 Nb0.5 Ti0.5 V0.5 Zr0.5,BCC,ANNEAL,7.6,C,25.0,1765.0,169.0
361,Mo1 Nb1 Ti1 V1 Zr1,BCC,ANNEAL,7.1,C,25.0,1779.0,141.0
362,Mo1 Nb1 Ti1 V0.3 Zr1,BCC,ANNEAL,7.2,C,25.0,1455.0,142.0
